,Asite,Bsite,Type,At2g,Ap,Bt2g,Beg,Bp,Op,Bsite X,Bsite CS,Asite IP,Bsite IP,Asite EA,Bsite EA,Asite s,Asite d,Bsite d,Bsite atomic_radius,Bsite average_ionic_radius,Asite exp_EA,Bsite exp_EA,GM,Asite Z,Work function
294,Y,Cr,B,0.15936,-24.27939,0.57925,0.30751999999999996,-43.77915,-4.68805,1.66,0.89,6.5236,6.7401,0.0,1.3828,1.32,0.58,0.25,1.4,0.94,29.6,64.3,5.51175,39,3.2164200000000003
295,Y,Cr,A,0.15936,-24.27939,0.57925,0.30751999999999996,-43.77915,-4.68805,1.66,0.89,6.5236,6.7401,0.0,1.3828,1.32,0.58,0.25,1.4,0.94,29.6,64.3,5.51175,39,2.34553
296,Ca,V,B,0.0,-22.036189999999998,0.36066,0.31885,-39.2541,-3.969,1.63,0.84,6.2588,6.4707,0.0,0.0,1.32,0.34,0.26,1.35,0.7775,2.37,50.6,5.083559999999999,20,4.00782
297,Ca,V,A,0.0,-22.036189999999998,0.36066,0.31885,-39.2541,-3.969,1.63,0.84,6.2588,6.4707,0.0,0.0,1.32,0.34,0.26,1.35,0.7775,2.37,50.6,5.083559999999999,20,2.4279900000000003
298,Ca,Nb,B,0.0,-24.06465,0.38644,0.33307,-32.21526,-4.91364,1.6,0.82,6.2588,6.275,0.0,0.0864,1.32,0.34,0.51,1.45,0.82,2.37,86.1,5.19182,20,1.97665
299,Ca,Nb,A,0.0,-24.06465,0.38644,0.33307,-32.21526,-4.91364,1.6,0.82,6.2588,6.275,0.0,0.0864,1.32,0.34,0.51,1.45,0.82,2.37,86.1,5.19182,20,1.7982799999999999
300,Ca,Ta,B,0.0,-24.47878,0.36793000000000003,0.34943,-35.87489,-5.65931,1.5,0.83,6.2588,7.3632,0.0,1.1716,1.32,0.34,0.605,1.45,0.82,2.37,31.0,5.22006,20,2.0373
301,Ca,Ta,A,0.0,-24.47878,0.36793000000000003,0.34943,-35.87489,-5.65931,1.5,0.83,6.2588,7.3632,0.0,1.1716,1.32,0.34,0.605,1.45,0.82,2.37,31.0,5.22006,20,2.01494
302,Ca,Cr,B,0.0,-21.599729999999997,0.52794,0.35864,-44.280809999999995,-3.8396800000000004,1.66,0.89,6.2588,6.7401,0.0,1.3828,1.32,0.34,0.25,1.4,0.94,2.37,64.3,5.11701,20,4.3887
303,Ca,Cr,A,0.0,-21.599729999999997,0.52794,0.35864,-44.280809999999995,-3.8396800000000004,1.66,0.89,6.2588,6.7401,0.0,1.3828,1.32,0.34,0.25,1.4,0.94,2.37,64.3,5.11701,20,2.7516
304,Ca,Mo,B,0.0,-23.612579999999998,0.5303399999999999,0.35477,-36.316,-4.88296,2.16,0.88,6.2588,6.4838,0.0,1.3549,1.32,0.34,0.49,1.45,0.775,2.37,71.9,5.16559,20,2.45911
305,Ca,Mo,A,0.0,-23.612579999999998,0.5303399999999999,0.35477,-36.316,-4.88296,2.16,0.88,6.2588,6.4838,0.0,1.3549,1.32,0.34,0.49,1.45,0.775,2.37,71.9,5.16559,20,2.12208
306,Y,Mo,B,0.14937999999999999,-24.90831,0.55735,0.33491,-35.965109999999996,-5.18791,2.16,0.88,6.5236,6.4838,0.0,1.3549,1.32,0.58,0.49,1.45,0.775,29.6,71.9,5.56409,39,2.35282
307,Y,Mo,A,0.14937999999999999,-24.90831,0.55735,0.33491,-35.965109999999996,-5.18791,2.16,0.88,6.5236,6.4838,0.0,1.3549,1.32,0.58,0.49,1.45,0.775,29.6,71.9,5.56409,39,2.76517
308,Mg,Mo,B,0.0,-45.593090000000004,0.51398,0.36044,-36.24762,-4.62113,2.16,0.88,7.9081,6.4838,0.0,1.3549,0.9,0.0,0.49,1.45,0.775,0.0,71.9,5.7470099999999995,12,2.17964
309,Mg,Mo,A,0.0,-45.593090000000004,0.51398,0.36044,-36.24762,-4.62113,2.16,0.88,7.9081,6.4838,0.0,1.3549,0.9,0.0,0.49,1.45,0.775,0.0,71.9,5.7470099999999995,12,3.7253199999999995
310,Mg,W,B,0.0,-45.593509999999995,0.48511000000000004,0.34814,-39.628009999999996,-5.06803,2.36,0.885,7.9081,7.6293,0.0,1.9369,0.9,0.0,0.59,1.35,0.76667,0.0,78.6,5.88735,12,2.7433099999999997
311,Mg,W,A,0.0,-45.593509999999995,0.48511000000000004,0.34814,-39.628009999999996,-5.06803,2.36,0.885,7.9081,7.6293,0.0,1.9369,0.9,0.0,0.59,1.35,0.76667,0.0,78.6,5.88735,12,4.161169999999999
312,Mg,Mn,B,0.0,-43.80407,0.61244,0.36782,-49.05941,-3.54432,1.55,0.94,7.9081,8.2684,0.0,1.8221,0.9,0.0,0.23,1.4,0.6483300000000001,0.0,0.0,5.69295,12,4.7411
313,Mg,Mn,A,0.0,-43.80407,0.61244,0.36782,-49.05941,-3.54432,1.55,0.94,7.9081,8.2684,0.0,1.8221,0.9,0.0,0.23,1.4,0.6483300000000001,0.0,0.0,5.69295,12,4.6100699999999994
314,Mg,Re,B,0.0,-45.51039,0.62856,0.36587,-43.27832,-4.94359,1.9,0.94,7.9081,7.853,0.0,2.7319,0.9,0.0,0.565,1.35,0.7125,0.0,14.5,5.78195,12,1.98406
315,Mg,Re,A,0.0,-45.51039,0.62856,0.36587,-43.27832,-4.94359,1.9,0.94,7.9081,7.853,0.0,2.7319,0.9,0.0,0.565,1.35,0.7125,0.0,14.5,5.78195,12,3.78199
316,Mg,Fe,B,0.0,-43.12478,0.76474,0.41578000000000004,-53.963080000000005,-3.06868,1.83,0.99,7.9081,8.5601,0.0,2.304,0.9,0.0,0.22,1.4,0.8525,0.0,15.7,5.79341,12,6.15372
317,Mg,Fe,A,0.0,-43.12478,0.76474,0.41578000000000004,-53.963080000000005,-3.06868,1.83,0.99,7.9081,8.5601,0.0,2.304,0.9,0.0,0.22,1.4,0.8525,0.0,15.7,5.79341,12,5.0311699999999995
318,Mg,Al,B,0.0,-41.95682,0.0,0.0,7.846660000000001,-1.06694,1.61,1.66,7.9081,5.7109,0.0,0.2572,0.9,0.0,0.0,1.25,0.675,0.0,42.5,5.53439,12,5.98134
319,Mg,Al,A,0.0,-41.95682,0.0,0.0,7.846660000000001,-1.06694,1.61,1.66,7.9081,5.7109,0.0,0.2572,0.9,0.0,0.0,1.25,0.675,0.0,42.5,5.53439,12,6.48072
320,Mg,Ga,B,0.0,-42.364959999999996,0.99976,0.9973200000000001,5.84307,-0.9616299999999999,1.81,1.68,7.9081,5.6565,0.0,0.1686,0.9,0.0,0.17,1.3,0.76,0.0,28.9,5.52407,12,5.80996
321,Mg,Ga,A,0.0,-42.364959999999996,0.99976,0.9973200000000001,5.84307,-0.9616299999999999,1.81,1.68,7.9081,5.6565,0.0,0.1686,0.9,0.0,0.17,1.3,0.76,0.0,28.9,5.52407,12,6.724260000000001
322,Mg,In,B,0.0,-43.19085,0.9996200000000001,0.98454,5.336040000000001,-0.8728299999999999,1.78,1.6,7.9081,5.3782,0.0,0.2822,0.9,0.0,0.36,1.55,0.94,0.0,28.9,5.4891,12,4.29122
323,Mg,In,A,0.0,-43.19085,0.9996200000000001,0.98454,5.336040000000001,-0.8728299999999999,1.78,1.6,7.9081,5.3782,0.0,0.2822,0.9,0.0,0.36,1.55,0.94,0.0,28.9,5.4891,12,6.721
324,Mg,Ge,B,0.0,-43.447070000000004,0.99992,0.99926,3.0731599999999997,-2.5007599999999996,2.01,1.92,7.9081,7.4167,0.0,0.934,0.9,0.0,0.16,1.25,0.77,0.0,119.0,5.93992,12,4.70825
325,Mg,Sb,A,0.0,-45.537240000000004,0.9999399999999999,0.9992,-0.04003,-4.04256,2.05,2.08,7.9081,8.3266,0.0,1.8032,0.9,0.0,0.335,1.45,0.83,0.0,103.2,6.0031300000000005,12,4.28733
326,Ca,Sc,B,0.0,-20.40456,0.12942,0.22505,-24.1573,-0.7128800000000001,1.36,0.74,6.2588,6.8245,0.0,0.0,1.32,0.34,0.31,1.6,0.885,2.37,18.1,5.00791,20,5.04725
327,Ca,Sc,A,0.0,-20.40456,0.12942,0.22505,-24.1573,-0.7128800000000001,1.36,0.74,6.2588,6.8245,0.0,0.0,1.32,0.34,0.31,1.6,0.885,2.37,18.1,5.00791,20,5.67261
328,Ca,Ti,B,0.0,-20.204710000000002,0.19969,0.30339,-32.07318,-1.5586,1.54,0.79,6.2588,7.2564,0.0,0.2526,1.32,0.34,0.28,1.4,0.85167,2.37,7.6,5.04047,20,4.39414
329,Ca,Ti,A,0.0,-20.204710000000002,0.19969,0.30339,-32.07318,-1.5586,1.54,0.79,6.2588,7.2564,0.0,0.2526,1.32,0.34,0.28,1.4,0.85167,2.37,7.6,5.04047,20,4.25028
330,Ca,Zr,A,0.0,-23.397289999999998,0.20734,0.33328,-26.593140000000002,-3.49894,1.33,0.76,6.2588,6.8953,0.0,0.0,1.32,0.34,0.54,1.55,0.86,2.37,41.1,5.09481,20,4.23187
331,Ca,Hf,B,0.0,-21.188589999999998,0.21436,0.36654000000000003,-28.01553,-1.5377399999999999,1.3,0.775,6.2588,7.6487,0.0,0.4432,1.32,0.34,0.63,1.55,0.85,2.37,0.0,5.1388300000000005,20,2.1564200000000002
332,Ca,Hf,A,0.0,-21.188589999999998,0.21436,0.36654000000000003,-28.01553,-1.5377399999999999,1.3,0.775,6.2588,7.6487,0.0,0.4432,1.32,0.34,0.63,1.55,0.85,2.37,0.0,5.1388300000000005,20,3.1269
333,Ca,W,B,0.0,-24.18091,0.5120899999999999,0.34226,-39.71102,-5.62449,2.36,0.885,6.2588,7.6293,0.0,1.9369,1.32,0.34,0.59,1.35,0.76667,2.37,78.6,5.29173,20,2.46116
334,Ca,W,A,0.0,-24.18091,0.5120899999999999,0.34226,-39.71102,-5.62449,2.36,0.885,6.2588,7.6293,0.0,1.9369,1.32,0.34,0.59,1.35,0.76667,2.37,78.6,5.29173,20,1.7755400000000001
335,Ca,Mn,B,0.0,-20.90227,0.61712,0.36586,-49.0442,-3.40303,1.55,0.94,6.2588,8.2684,0.0,1.8221,1.32,0.34,0.23,1.4,0.6483300000000001,2.37,0.0,5.11701,20,5.2226300000000005
336,Ca,Mn,A,0.0,-20.90227,0.61712,0.36586,-49.0442,-3.40303,1.55,0.94,6.2588,8.2684,0.0,1.8221,1.32,0.34,0.23,1.4,0.6483300000000001,2.37,0.0,5.11701,20,3.23433
337,Ca,Re,B,0.0,-23.67897,0.6502399999999999,0.3609,-43.28082,-5.27219,1.9,0.94,6.2588,7.853,0.0,2.7319,1.32,0.34,0.565,1.35,0.7125,2.37,14.5,5.197,20,3.20282
338,Ca,Re,A,0.0,-23.67897,0.6502399999999999,0.3609,-43.28082,-5.27219,1.9,0.94,6.2588,7.853,0.0,2.7319,1.32,0.34,0.565,1.35,0.7125,2.37,14.5,5.197,20,2.19246
339,La,W,B,0.29822,-17.41648,0.55498,0.88005,-39.403459999999995,-6.44157,2.36,0.885,4.8037,7.6293,1.6693,1.9369,1.375,0.874,0.59,1.35,0.76667,48.0,78.6,5.66742,57,2.47761
340,La,W,A,0.29822,-17.41648,0.55498,0.88005,-39.403459999999995,-6.44157,2.36,0.885,4.8037,7.6293,1.6693,1.9369,1.375,0.874,0.59,1.35,0.76667,48.0,78.6,5.66742,57,1.8880599999999998
341,La,Ge,A,0.1838,-17.76326,0.9999399999999999,0.9997,-10.69155,-5.63216,2.01,1.92,4.8037,7.4167,1.6693,0.934,1.375,0.874,0.16,1.25,0.77,48.0,119.0,5.718030000000001,57,2.2820099999999996
342,La,Ge,B,0.1838,-17.76326,0.9999399999999999,0.9997,-10.69155,-5.63216,2.01,1.92,4.8037,7.4167,1.6693,0.934,1.375,0.874,0.16,1.25,0.77,48.0,119.0,5.718030000000001,57,5.098319999999999
343,La,Sn,B,0.16201,-18.077579999999998,0.99985,0.99921,-10.591389999999999,-5.49191,1.96,1.84,4.8037,6.8885,1.6693,1.0258,1.375,0.874,0.345,1.45,0.83,48.0,107.3,5.641430000000001,57,4.85532
344,La,Sn,A,0.16201,-18.077579999999998,0.99985,0.99921,-10.591389999999999,-5.49191,1.96,1.84,4.8037,6.8885,1.6693,1.0258,1.375,0.874,0.345,1.45,0.83,48.0,107.3,5.641430000000001,57,2.20493
345,La,Sb,B,0.1765,-18.09456,0.9999399999999999,0.99982,-8.70702,-4.95455,2.05,2.08,4.8037,8.3266,1.6693,1.8032,1.375,0.874,0.335,1.45,0.83,48.0,103.2,5.77888,57,3.30544
346,La,Sb,A,0.1765,-18.09456,0.9999399999999999,0.99982,-8.70702,-4.95455,2.05,2.08,4.8037,8.3266,1.6693,1.8032,1.375,0.874,0.335,1.45,0.83,48.0,103.2,5.77888,57,1.80509
347,Mg,Sc,B,0.0,-42.98259,0.13052,0.22763000000000003,-23.98304,-0.7357899999999999,1.36,0.74,7.9081,6.8245,0.0,0.0,0.9,0.0,0.31,1.6,0.885,0.0,18.1,5.57158,12,4.3230699999999995
348,Mg,Sc,A,0.0,-42.98259,0.13052,0.22763000000000003,-23.98304,-0.7357899999999999,1.36,0.74,7.9081,6.8245,0.0,0.0,0.9,0.0,0.31,1.6,0.885,0.0,18.1,5.57158,12,6.9099699999999995
349,Mg,Ti,B,0.0,-43.353790000000004,0.19879000000000002,0.30685999999999997,-32.32845,-1.9634900000000002,1.54,0.79,7.9081,7.2564,0.0,0.2526,0.9,0.0,0.28,1.4,0.85167,0.0,7.6,5.6078,12,3.4569300000000003
350,Mg,Ti,A,0.0,-43.353790000000004,0.19879000000000002,0.30685999999999997,-32.32845,-1.9634900000000002,1.54,0.79,7.9081,7.2564,0.0,0.2526,0.9,0.0,0.28,1.4,0.85167,0.0,7.6,5.6078,12,5.53766
351,Mg,Zr,B,0.0,-43.5985,0.20720999999999998,0.30166,-24.07266,-0.9388799999999999,1.33,0.76,7.9081,6.8953,0.0,0.0,0.9,0.0,0.54,1.55,0.86,0.0,41.1,5.66825,12,1.9703099999999998
352,Mg,Hf,B,0.0,-43.5037,0.21589,0.30678,-27.556890000000003,-0.93863,1.3,0.775,7.9081,7.6487,0.0,0.4432,0.9,0.0,0.63,1.55,0.85,0.0,0.0,5.717230000000001,12,2.18531
353,Mg,V,B,0.0,-44.92968,0.3578,0.32266999999999996,-39.21177,-4.07921,1.63,0.84,7.9081,6.4707,0.0,0.0,0.9,0.0,0.26,1.35,0.7775,0.0,50.6,5.65574,12,3.20269
354,Mg,V,A,0.0,-44.92968,0.3578,0.32266999999999996,-39.21177,-4.07921,1.63,0.84,7.9081,6.4707,0.0,0.0,0.9,0.0,0.26,1.35,0.7775,0.0,50.6,5.65574,12,3.7588800000000004
355,Mg,Nb,B,0.0,-45.551109999999994,0.34807,0.34098,-32.140409999999996,-4.42695,1.6,0.82,7.9081,6.275,0.0,0.0864,0.9,0.0,0.51,1.45,0.82,0.0,86.1,5.77618,12,2.18134
356,Mg,Nb,A,0.0,-45.551109999999994,0.34807,0.34098,-32.140409999999996,-4.42695,1.6,0.82,7.9081,6.275,0.0,0.0864,0.9,0.0,0.51,1.45,0.82,0.0,86.1,5.77618,12,3.58736
357,Mg,Ta,B,0.0,-45.45644,0.32026,0.33405999999999997,-35.91938,-4.8405,1.5,0.83,7.9081,7.3632,0.0,1.1716,0.9,0.0,0.605,1.45,0.82,0.0,31.0,5.8076099999999995,12,2.4213400000000003
358,Mg,Ta,A,0.0,-45.45644,0.32026,0.33405999999999997,-35.91938,-4.8405,1.5,0.83,7.9081,7.3632,0.0,1.1716,0.9,0.0,0.605,1.45,0.82,0.0,31.0,5.8076099999999995,12,3.8603099999999997
359,Mg,Cr,B,0.0,-44.50813,0.53033,0.36207,-44.24678,-3.9506099999999997,1.66,0.89,7.9081,6.7401,0.0,1.3828,0.9,0.0,0.25,1.4,0.94,0.0,64.3,5.69295,12,3.70686
360,Mg,Cr,A,0.0,-44.50813,0.53033,0.36207,-44.24678,-3.9506099999999997,1.66,0.89,7.9081,6.7401,0.0,1.3828,0.9,0.0,0.25,1.4,0.94,0.0,64.3,5.69295,12,4.0981
361,Y,Sc,B,0.14776,-23.78057,0.12625999999999998,0.23389000000000001,-25.416539999999998,-2.1861099999999998,1.36,0.74,6.5236,6.8245,0.0,0.0,1.32,0.58,0.31,1.6,0.885,29.6,18.1,5.39424,39,3.9235300000000004
362,Y,Sc,A,0.14776,-23.78057,0.12625999999999998,0.23389000000000001,-25.416539999999998,-2.1861099999999998,1.36,0.74,6.5236,6.8245,0.0,0.0,1.32,0.58,0.31,1.6,0.885,29.6,18.1,5.39424,39,2.7789200000000003
363,Y,Ti,B,0.15696,-24.85804,0.24179,0.26605999999999996,-34.02543,-4.89594,1.54,0.79,6.5236,7.2564,0.0,0.2526,1.32,0.58,0.28,1.4,0.85167,29.6,7.6,5.42931,39,1.688
364,Y,Ti,A,0.15696,-24.85804,0.24179,0.26605999999999996,-34.02543,-4.89594,1.54,0.79,6.5236,7.2564,0.0,0.2526,1.32,0.58,0.28,1.4,0.85167,29.6,7.6,5.42931,39,2.34163
365,Y,Zr,B,0.1423,-25.13096,0.22438000000000002,0.3217,-27.483990000000002,-4.93562,1.33,0.76,6.5236,6.8953,0.0,0.0,1.32,0.58,0.54,1.55,0.86,29.6,41.1,5.48784,39,3.26096
366,Y,Zr,A,0.1423,-25.13096,0.22438000000000002,0.3217,-27.483990000000002,-4.93562,1.33,0.76,6.5236,6.8953,0.0,0.0,1.32,0.58,0.54,1.55,0.86,29.6,41.1,5.48784,39,2.9786799999999998
367,Y,Hf,B,0.14237,-25.07323,0.22655999999999998,0.35086999999999996,-31.40581,-5.28376,1.3,0.775,6.5236,7.6487,0.0,0.4432,1.32,0.58,0.63,1.55,0.85,29.6,0.0,5.53526,39,3.35376
368,Y,Hf,A,0.14237,-25.07323,0.22655999999999998,0.35086999999999996,-31.40581,-5.28376,1.3,0.775,6.5236,7.6487,0.0,0.4432,1.32,0.58,0.63,1.55,0.85,29.6,0.0,5.53526,39,2.82674
369,La,Mn,B,0.6149600000000001,-15.951120000000001,0.68188,0.30186,-48.51406,-4.530869999999999,1.55,0.94,4.8037,8.2684,1.6693,1.8221,1.375,0.874,0.23,1.4,0.6483300000000001,48.0,0.0,5.48029,57,4.58119
370,La,Mn,A,0.6149600000000001,-15.951120000000001,0.68188,0.30186,-48.51406,-4.530869999999999,1.55,0.94,4.8037,8.2684,1.6693,1.8221,1.375,0.874,0.23,1.4,0.6483300000000001,48.0,0.0,5.48029,57,1.6973599999999998
371,La,Re,B,0.3547,-17.280829999999998,0.6975600000000001,0.6107100000000001,-42.84901,-6.18647,1.9,0.94,4.8037,7.853,1.6693,2.7319,1.375,0.874,0.565,1.35,0.7125,48.0,14.5,5.56596,57,3.0838900000000002
372,La,Re,A,0.3547,-17.280829999999998,0.6975600000000001,0.6107100000000001,-42.84901,-6.18647,1.9,0.94,4.8037,7.853,1.6693,2.7319,1.375,0.874,0.565,1.35,0.7125,48.0,14.5,5.56596,57,1.9291099999999999
373,La,Fe,B,0.63545,-15.33451,0.7959,0.33673000000000003,-53.34404,-3.9866099999999998,1.83,0.99,4.8037,8.5601,1.6693,2.304,1.375,0.874,0.22,1.4,0.8525,48.0,15.7,5.577,57,5.2016
374,La,Fe,A,0.63545,-15.33451,0.7959,0.33673000000000003,-53.34404,-3.9866099999999998,1.83,0.99,4.8037,8.5601,1.6693,2.304,1.375,0.874,0.22,1.4,0.8525,48.0,15.7,5.577,57,1.97875
375,La,Al,B,0.16329000000000002,-14.771070000000002,0.0,0.0,3.43485,-2.46563,1.61,1.66,4.8037,5.7109,1.6693,0.2572,1.375,0.874,0.0,1.25,0.675,48.0,42.5,5.32765,57,6.361
376,La,Al,A,0.16329000000000002,-14.771070000000002,0.0,0.0,3.43485,-2.46563,1.61,1.66,4.8037,5.7109,1.6693,0.2572,1.375,0.874,0.0,1.25,0.675,48.0,42.5,5.32765,57,2.5467
377,La,Ga,B,0.18647,-15.132620000000001,0.99976,0.99941,-10.54364,-2.82801,1.81,1.68,4.8037,5.6565,1.6693,0.1686,1.375,0.874,0.17,1.3,0.76,48.0,28.9,5.31772,57,6.2165
378,La,Ga,A,0.18647,-15.132620000000001,0.99976,0.99941,-10.54364,-2.82801,1.81,1.68,4.8037,5.6565,1.6693,0.1686,1.375,0.874,0.17,1.3,0.76,48.0,28.9,5.31772,57,2.34901
379,La,In,B,0.15345999999999999,-17.06164,0.9995200000000001,0.99928,-11.400889999999999,-3.39295,1.78,1.6,4.8037,5.3782,1.6693,0.2822,1.375,0.874,0.36,1.55,0.94,48.0,28.9,5.28406,57,4.65224
380,La,In,A,0.15345999999999999,-17.06164,0.9995200000000001,0.99928,-11.400889999999999,-3.39295,1.78,1.6,4.8037,5.3782,1.6693,0.2822,1.375,0.874,0.36,1.55,0.94,48.0,28.9,5.28406,57,2.1814299999999998
381,Y,V,B,0.16077,-24.63861,0.40506,0.27699,-38.987840000000006,-4.98614,1.63,0.84,6.5236,6.4707,0.0,0.0,1.32,0.58,0.26,1.35,0.7775,29.6,50.6,5.47572,39,2.40807
382,Y,V,A,0.16077,-24.63861,0.40506,0.27699,-38.987840000000006,-4.98614,1.63,0.84,6.5236,6.4707,0.0,0.0,1.32,0.58,0.26,1.35,0.7775,29.6,50.6,5.47572,39,2.3438
383,Y,Nb,B,0.15192999999999998,-24.99061,0.39954,0.32031,-31.987029999999997,-5.2289900000000005,1.6,0.82,6.5236,6.275,0.0,0.0864,1.32,0.58,0.51,1.45,0.82,29.6,86.1,5.5923300000000005,39,1.9129599999999998
384,Y,Nb,A,0.15192999999999998,-24.99061,0.39954,0.32031,-31.987029999999997,-5.2289900000000005,1.6,0.82,6.5236,6.275,0.0,0.0864,1.32,0.58,0.51,1.45,0.82,29.6,86.1,5.5923300000000005,39,2.7858400000000003
385,Y,Ta,B,0.15295,-24.94132,0.3704,0.33621999999999996,-35.67517,-5.74611,1.5,0.83,6.5236,7.3632,0.0,1.1716,1.32,0.58,0.605,1.45,0.82,29.6,31.0,5.6227599999999995,39,2.41405
386,Y,Ta,A,0.15295,-24.94132,0.3704,0.33621999999999996,-35.67517,-5.74611,1.5,0.83,6.5236,7.3632,0.0,1.1716,1.32,0.58,0.605,1.45,0.82,29.6,31.0,5.6227599999999995,39,2.70942
387,Cr,Hf,B,0.35620999999999997,-43.232079999999996,0.20765,0.44078999999999996,-28.879109999999997,-2.8916,1.3,0.775,6.7401,7.6487,1.3828,0.4432,1.07,0.25,0.63,1.55,0.85,64.3,0.0,5.70805,24,3.8668400000000003
388,Cr,Hf,A,0.35620999999999997,-43.232079999999996,0.20765,0.44078999999999996,-28.879109999999997,-2.8916,1.3,0.775,6.7401,7.6487,1.3828,0.4432,1.07,0.25,0.63,1.55,0.85,64.3,0.0,5.70805,24,9.745389999999999
389,Cr,V,B,0.3453,-43.31044,0.35218,0.32375,-39.0954,-4.13375,1.63,0.84,6.7401,6.4707,1.3828,0.0,1.07,0.25,0.26,1.35,0.7775,64.3,50.6,5.64666,24,3.99378
390,Cr,V,A,0.3453,-43.31044,0.35218,0.32375,-39.0954,-4.13375,1.63,0.84,6.7401,6.4707,1.3828,0.0,1.07,0.25,0.26,1.35,0.7775,64.3,50.6,5.64666,24,6.15415
391,Cr,Nb,B,0.36406,-43.01538,0.33314,0.39013000000000003,-31.96974,-4.3477,1.6,0.82,6.7401,6.275,1.3828,0.0864,1.07,0.25,0.51,1.45,0.82,64.3,86.1,5.76691,24,4.9352599999999995
392,Cr,Nb,A,0.36406,-43.01538,0.33314,0.39013000000000003,-31.96974,-4.3477,1.6,0.82,6.7401,6.275,1.3828,0.0864,1.07,0.25,0.51,1.45,0.82,64.3,86.1,5.76691,24,6.54188
393,Cr,Ta,B,0.4256,-42.94679,0.30525,0.41676,-35.59558,-4.8583300000000005,1.5,0.83,6.7401,7.3632,1.3828,1.1716,1.07,0.25,0.605,1.45,0.82,64.3,31.0,5.79829,24,4.575
394,Cr,Ta,A,0.4256,-42.94679,0.30525,0.41676,-35.59558,-4.8583300000000005,1.5,0.83,6.7401,7.3632,1.3828,1.1716,1.07,0.25,0.605,1.45,0.82,64.3,31.0,5.79829,24,7.0122
395,Cr,Cr,B,0.36873,-43.69616,0.36873,0.6207,-43.69616,-4.2211099999999995,1.66,0.89,6.7401,6.7401,1.3828,1.3828,1.07,0.25,0.25,1.4,0.94,64.3,64.3,5.68382,24,4.0709
396,Cr,Cr,B,0.36873,-43.69616,0.36873,0.6207,-43.69616,-4.2211099999999995,1.66,0.89,6.7401,6.7401,1.3828,1.3828,1.07,0.25,0.25,1.4,0.94,64.3,64.3,5.68382,24,4.0709
397,Cr,Cr,A,0.36873,-43.69616,0.36873,0.6207,-43.69616,-4.2211099999999995,1.66,0.89,6.7401,6.7401,1.3828,1.3828,1.07,0.25,0.25,1.4,0.94,64.3,64.3,5.68382,24,5.5307699999999995
398,Cr,Cr,A,0.36873,-43.69616,0.36873,0.6207,-43.69616,-4.2211099999999995,1.66,0.89,6.7401,6.7401,1.3828,1.3828,1.07,0.25,0.25,1.4,0.94,64.3,64.3,5.68382,24,5.5307699999999995
399,Cr,Mo,B,0.36814,-43.08713,0.49481,0.37466,-36.250890000000005,-4.5263,2.16,0.88,6.7401,6.4838,1.3828,1.3549,1.07,0.25,0.49,1.45,0.775,64.3,71.9,5.73779,24,3.83259
400,Cr,Mo,A,0.36814,-43.08713,0.49481,0.37466,-36.250890000000005,-4.5263,2.16,0.88,6.7401,6.4838,1.3828,1.3549,1.07,0.25,0.49,1.45,0.775,64.3,71.9,5.73779,24,5.29859
401,Cr,W,B,0.38073,-42.98579,0.45833,0.40271999999999997,-39.68269,-5.23373,2.36,0.885,6.7401,7.6293,1.3828,1.9369,1.07,0.25,0.59,1.35,0.76667,64.3,78.6,5.8779,24,3.62054
402,Cr,W,A,0.38073,-42.98579,0.45833,0.40271999999999997,-39.68269,-5.23373,2.36,0.885,6.7401,7.6293,1.3828,1.9369,1.07,0.25,0.59,1.35,0.76667,64.3,78.6,5.8779,24,5.2893300000000005
403,Cr,Mn,B,0.35864,-43.43425,0.66325,0.34163000000000004,-48.74391,-4.22039,1.55,0.94,6.7401,8.2684,1.3828,1.8221,1.07,0.25,0.23,1.4,0.6483300000000001,64.3,0.0,5.68382,24,4.30258
404,Cr,Mn,A,0.35864,-43.43425,0.66325,0.34163000000000004,-48.74391,-4.22039,1.55,0.94,6.7401,8.2684,1.3828,1.8221,1.07,0.25,0.23,1.4,0.6483300000000001,64.3,0.0,5.68382,24,6.133430000000001
405,Cr,Re,B,0.35447,-43.071090000000005,0.60902,0.38965,-43.363279999999996,-5.12023,1.9,0.94,6.7401,7.853,1.3828,2.7319,1.07,0.25,0.565,1.35,0.7125,64.3,14.5,5.77267,24,5.83129
406,Cr,Re,A,0.35447,-43.071090000000005,0.60902,0.38965,-43.363279999999996,-5.12023,1.9,0.94,6.7401,7.853,1.3828,2.7319,1.07,0.25,0.565,1.35,0.7125,64.3,14.5,5.77267,24,4.81001
407,Cr,Fe,B,0.36971,-43.52459,0.81013,0.36473,-53.72685,-4.1006599999999995,1.83,0.99,6.7401,8.5601,1.3828,2.304,1.07,0.25,0.22,1.4,0.8525,64.3,15.7,5.78411,24,4.99298
408,Cr,Fe,A,0.36971,-43.52459,0.81013,0.36473,-53.72685,-4.1006599999999995,1.83,0.99,6.7401,8.5601,1.3828,2.304,1.07,0.25,0.22,1.4,0.8525,64.3,15.7,5.78411,24,6.54502
409,Cr,Al,B,0.36043000000000003,-43.55373,0.0,0.0,6.366630000000001,-2.48832,1.61,1.66,6.7401,5.7109,1.3828,0.2572,1.07,0.25,0.0,1.25,0.675,64.3,42.5,5.5255,24,3.7518599999999998
