,Asite,Bsite,Type,At2g,Aeg,Ad,Ap,Bt2g,Beg,Bd,Bp,Op,Asite X,Bsite X,Asite CS,Bsite CS,Asite IP,Bsite IP,Asite EA,Bsite EA,Asite s,Bsite s,Asite p,Bsite p,Asite d,Bsite d,Asite atomic_radius,Asite average_ionic_radius,Asite mendeleev_no,Bsite atomic_radius,Bsite average_ionic_radius,Bsite mendeleev_no,Asite exp_IP,Asite exp_EA,Bsite exp_IP,Bsite exp_EA,Asite covalency,Bsite covalency,GM,Asite Z,Bsite Z,Work function
38,Cs,Al,B,0.00000,0.00000,0.00000,-4.40747,0.00000,0.00000,0.00000,6.61868,-0.83475,0.79000,1.61000,0.25000,1.66000,3.68870,5.71090,0.54710,0.25720,1.71000,0.77000,2.60000,0.90500,0.00000,0.00000,2.60000,1.81000,8.00000,1.25000,0.67500,80.00000,375.70000,45.50000,577.50000,42.50000,0.17280,0.43291,4.96540,55,13,7.24976
39,Cs,Al,A,0.00000,0.00000,0.00000,-4.40747,0.00000,0.00000,0.00000,6.61868,-0.83475,0.79000,1.61000,0.25000,1.66000,3.68870,5.71090,0.54710,0.25720,1.71000,0.77000,2.60000,0.90500,0.00000,0.00000,2.60000,1.81000,8.00000,1.25000,0.67500,80.00000,375.70000,45.50000,577.50000,42.50000,0.17280,0.43291,4.96540,55,13,3.49539
40,Cs,Ga,B,0.00000,0.00000,0.00000,-4.36966,0.99985,0.99854,0.99933,5.80970,-0.64291,0.79000,1.81000,0.25000,1.68000,3.68870,5.65650,0.54710,0.16860,1.71000,0.76000,2.60000,0.93500,0.00000,0.17000,2.60000,1.81000,8.00000,1.30000,0.76000,81.00000,375.70000,45.50000,578.80000,28.90000,0.17280,0.51467,4.95615,55,31,7.45282
41,Cs,Ga,A,0.00000,0.00000,0.00000,-4.36966,0.99985,0.99854,0.99933,5.80970,-0.64291,0.79000,1.81000,0.25000,1.68000,3.68870,5.65650,0.54710,0.16860,1.71000,0.76000,2.60000,0.93500,0.00000,0.17000,2.60000,1.81000,8.00000,1.30000,0.76000,81.00000,375.70000,45.50000,578.80000,28.90000,0.17280,0.51467,4.95615,55,31,3.90760
42,Cs,In,B,0.00000,0.00000,0.00000,-4.57146,0.99985,0.99486,0.99785,5.88728,-0.41137,0.79000,1.78000,0.25000,1.60000,3.68870,5.37820,0.54710,0.28220,1.71000,0.94000,2.60000,1.11000,0.00000,0.36000,2.60000,1.81000,8.00000,1.55000,0.94000,79.00000,375.70000,45.50000,558.30000,28.90000,0.17280,0.50213,4.92478,55,49,6.83347
43,Cs,In,A,0.00000,0.00000,0.00000,-4.57146,0.99985,0.99486,0.99785,5.88728,-0.41137,0.79000,1.78000,0.25000,1.60000,3.68870,5.37820,0.54710,0.28220,1.71000,0.94000,2.60000,1.11000,0.00000,0.36000,2.60000,1.81000,8.00000,1.55000,0.94000,79.00000,375.70000,45.50000,558.30000,28.90000,0.17280,0.50213,4.92478,55,49,4.46301
44,Cs,Ge,B,0.00000,0.00000,0.00000,-4.32793,0.99996,0.99943,0.99975,3.80079,-0.98621,0.79000,2.01000,0.25000,1.92000,3.68870,7.41670,0.54710,0.93400,1.71000,0.72000,2.60000,0.84000,0.00000,0.16000,2.60000,1.81000,8.00000,1.25000,0.77000,84.00000,375.70000,45.50000,762.00000,119.00000,0.17280,0.59976,5.32924,55,32,7.65120
45,Cs,Ge,A,0.00000,0.00000,0.00000,-4.32793,0.99996,0.99943,0.99975,3.80079,-0.98621,0.79000,2.01000,0.25000,1.92000,3.68870,7.41670,0.54710,0.93400,1.71000,0.72000,2.60000,0.84000,0.00000,0.16000,2.60000,1.81000,8.00000,1.25000,0.77000,84.00000,375.70000,45.50000,762.00000,119.00000,0.17280,0.59976,5.32924,55,32,3.38264
46,Cs,Sn,B,0.00000,0.00000,0.00000,-4.47535,0.99993,0.99867,0.99943,4.47444,-0.65031,0.79000,1.96000,0.25000,1.84000,3.68870,6.88850,0.54710,1.02580,1.71000,0.88000,2.60000,1.00000,0.00000,0.34500,2.60000,1.81000,8.00000,1.45000,0.83000,83.00000,375.70000,45.50000,708.60000,107.30000,0.17280,0.57834,5.25785,55,50,6.97935
47,Cs,Sn,A,0.00000,0.00000,0.00000,-4.47535,0.99993,0.99867,0.99943,4.47444,-0.65031,0.79000,1.96000,0.25000,1.84000,3.68870,6.88850,0.54710,1.02580,1.71000,0.88000,2.60000,1.00000,0.00000,0.34500,2.60000,1.81000,8.00000,1.45000,0.83000,83.00000,375.70000,45.50000,708.60000,107.30000,0.17280,0.57834,5.25785,55,50,4.09872
48,Cs,Sb,B,0.00000,0.00000,0.00000,-4.35582,0.99996,0.99916,0.99964,2.55772,-0.99098,0.79000,2.05000,0.25000,2.08000,3.68870,8.32660,0.54710,1.80320,1.71000,0.83000,2.60000,0.93500,0.00000,0.33500,2.60000,1.81000,8.00000,1.45000,0.83000,88.00000,375.70000,45.50000,834.00000,103.20000,0.17280,0.61691,5.38595,55,51,6.57279
49,Cs,Sb,A,0.00000,0.00000,0.00000,-4.35582,0.99996,0.99916,0.99964,2.55772,-0.99098,0.79000,2.05000,0.25000,2.08000,3.68870,8.32660,0.54710,1.80320,1.71000,0.83000,2.60000,0.93500,0.00000,0.33500,2.60000,1.81000,8.00000,1.45000,0.83000,88.00000,375.70000,45.50000,834.00000,103.20000,0.17280,0.61691,5.38595,55,51,3.72131
50,K,Zr,B,0.00000,0.00000,0.00000,-10.55876,0.19241,0.28814,0.23022,-24.17189,-0.49540,0.82000,1.33000,0.35000,0.76000,4.26630,6.89530,0.59920,0.00000,1.54000,1.26500,2.15000,1.56000,0.37000,0.54000,2.20000,1.52000,10.00000,1.55000,0.86000,49.00000,418.80000,48.40000,640.10000,41.10000,0.17977,0.32856,5.19285,19,40,6.27619
51,K,Zr,A,0.00000,0.00000,0.00000,-10.55876,0.19241,0.28814,0.23022,-24.17189,-0.49540,0.82000,1.33000,0.35000,0.76000,4.26630,6.89530,0.59920,0.00000,1.54000,1.26500,2.15000,1.56000,0.37000,0.54000,2.20000,1.52000,10.00000,1.55000,0.86000,49.00000,418.80000,48.40000,640.10000,41.10000,0.17977,0.32856,5.19285,19,40,4.94129
52,K,Hf,B,0.00000,0.00000,0.00000,-10.47393,0.19636,0.29147,0.23364,-27.68131,-0.49381,0.82000,1.30000,0.35000,0.77500,4.26630,7.64870,0.59920,0.44320,1.54000,1.30000,2.15000,1.61000,0.37000,0.63000,2.20000,1.52000,10.00000,1.55000,0.85000,50.00000,418.80000,48.40000,658.50000,0.00000,0.17977,0.31826,5.23772,19,72,6.29124
53,K,Hf,A,0.00000,0.00000,0.00000,-10.47393,0.19636,0.29147,0.23364,-27.68131,-0.49381,0.82000,1.30000,0.35000,0.77500,4.26630,7.64870,0.59920,0.44320,1.54000,1.30000,2.15000,1.61000,0.37000,0.63000,2.20000,1.52000,10.00000,1.55000,0.85000,50.00000,418.80000,48.40000,658.50000,0.00000,0.17977,0.31826,5.23772,19,72,4.88951
54,K,V,B,0.00000,0.00000,0.00000,-10.31691,0.30800,0.35577,0.32701,-38.66192,-1.76070,0.82000,1.63000,0.35000,0.84000,4.26630,6.47070,0.59920,0.00000,1.54000,1.09000,2.15000,1.34000,0.37000,0.26000,2.20000,1.52000,10.00000,1.35000,0.77750,54.00000,418.80000,48.40000,650.90000,50.60000,0.17977,0.44086,5.18139,19,23,5.78998
55,K,V,A,0.00000,0.00000,0.00000,-10.31691,0.30800,0.35577,0.32701,-38.66192,-1.76070,0.82000,1.63000,0.35000,0.84000,4.26630,6.47070,0.59920,0.00000,1.54000,1.09000,2.15000,1.34000,0.37000,0.26000,2.20000,1.52000,10.00000,1.35000,0.77750,54.00000,418.80000,48.40000,650.90000,50.60000,0.17977,0.44086,5.18139,19,23,3.21099
56,K,Nb,B,0.00000,0.00000,0.00000,-11.41973,0.29690,0.36146,0.32239,-31.04743,-1.97087,0.82000,1.60000,0.35000,0.82000,4.26630,6.27500,0.59920,0.08640,1.54000,1.23000,2.15000,1.53000,0.37000,0.51000,2.20000,1.52000,10.00000,1.45000,0.82000,53.00000,418.80000,48.40000,652.10000,86.10000,0.17977,0.42896,5.29173,19,41,3.41878
57,K,Nb,A,0.00000,0.00000,0.00000,-11.41973,0.29690,0.36146,0.32239,-31.04743,-1.97087,0.82000,1.60000,0.35000,0.82000,4.26630,6.27500,0.59920,0.08640,1.54000,1.23000,2.15000,1.53000,0.37000,0.51000,2.20000,1.52000,10.00000,1.45000,0.82000,53.00000,418.80000,48.40000,652.10000,86.10000,0.17977,0.42896,5.29173,19,41,4.12956
58,K,Ta,B,0.00000,0.00000,0.00000,-11.11685,0.27318,0.34779,0.30256,-33.86935,-1.66154,0.82000,1.50000,0.35000,0.83000,4.26630,7.36320,0.59920,1.17160,1.54000,1.25000,2.15000,1.54000,0.37000,0.60500,2.20000,1.52000,10.00000,1.45000,0.82000,52.00000,418.80000,48.40000,761.00000,31.00000,0.17977,0.39028,5.32052,19,73,2.66177
59,K,Ta,A,0.00000,0.00000,0.00000,-11.11685,0.27318,0.34779,0.30256,-33.86935,-1.66154,0.82000,1.50000,0.35000,0.83000,4.26630,7.36320,0.59920,1.17160,1.54000,1.25000,2.15000,1.54000,0.37000,0.60500,2.20000,1.52000,10.00000,1.45000,0.82000,52.00000,418.80000,48.40000,761.00000,31.00000,0.17977,0.39028,5.32052,19,73,4.19145
60,K,Cr,B,0.00000,0.00000,0.00000,-10.85052,0.49195,0.39293,0.45254,-44.31767,-2.52273,0.82000,1.66000,0.35000,0.89000,4.26630,6.74010,0.59920,1.38280,1.54000,1.07000,2.15000,1.37000,0.37000,0.25000,2.20000,1.52000,10.00000,1.40000,0.94000,57.00000,418.80000,48.40000,652.90000,64.30000,0.17977,0.45289,5.21548,19,24,5.57241
61,K,Cr,A,0.00000,0.00000,0.00000,-10.85052,0.49195,0.39293,0.45254,-44.31767,-2.52273,0.82000,1.66000,0.35000,0.89000,4.26630,6.74010,0.59920,1.38280,1.54000,1.07000,2.15000,1.37000,0.37000,0.25000,2.20000,1.52000,10.00000,1.40000,0.94000,57.00000,418.80000,48.40000,652.90000,64.30000,0.17977,0.45289,5.21548,19,24,2.48776
62,K,Mo,B,0.00000,0.00000,0.00000,-12.46419,0.46713,0.38130,0.43314,-36.32419,-3.44153,0.82000,2.16000,0.35000,0.88000,4.26630,6.48380,0.59920,1.35490,1.54000,1.22000,2.15000,1.50000,0.37000,0.49000,2.20000,1.52000,10.00000,1.45000,0.77500,56.00000,418.80000,48.40000,684.30000,71.90000,0.17977,0.66392,5.26501,19,42,3.68110
