,Asite,Bsite,Type,At2g,Ap,Bt2g,Beg,Bp,Op,Bsite CS,Asite IP,Bsite IP,Asite d,Bsite d,Bsite atomic_radius,Asite exp_EA,Bsite exp_EA,GM,Asite Z,Work function
634,Tl,W,B,0.99898,2.66288,0.4289,0.35373000000000004,-39.82015,-3.77084,0.885,5.273,7.6293,0.46299999999999997,0.59,1.35,19.2,78.6,5.70352,81,3.2885699999999995
636,Ga,Zr,B,0.99985,3.91321,0.18555,0.29365,-24.1819,-0.69096,0.76,5.6565,6.8953,0.17,0.54,1.55,28.9,41.1,5.49127,31,6.57327
638,Ga,Ti,B,0.99985,3.71175,0.18604,0.30012,-32.25977,-1.52947,0.79,5.6565,7.2564,0.17,0.28,1.4,28.9,7.6,5.43271,31,5.0175800000000015
640,Ga,Sc,B,0.99986,3.9694,0.11438,0.22253,-24.21741,-0.62144,0.74,5.6565,6.8245,0.17,0.31,1.6,28.9,18.1,5.39762,31,3.645480000000001
642,Cd,Cr,B,0.99925,-63.75036,0.52856,0.36033,-44.20343,-3.67847,0.89,8.6893,6.7401,0.37,0.25,1.4,0.0,64.3,5.85907,48,4.4448300000000005
644,Ag,Ge,B,0.96902,-53.02606,0.99996,0.99936,2.39309,-1.86277,1.92,7.1384,7.4167,0.385,0.16,1.25,125.6,119.0,6.144,47,6.934189999999999
646,Hg,Sb,B,0.99805,-62.43001,0.99993,0.99915,-0.0813,-3.17285,2.08,8.6343,8.3266,0.475,0.335,1.45,0.0,103.2,6.3356,80,4.85085
648,Hg,Sn,B,0.99797,-61.84474,0.99976,0.99878,2.67,-1.40697,1.84,8.6343,6.8885,0.475,0.345,1.45,0.0,107.3,6.1849,80,5.17647
650,Hg,Ge,B,0.9976,-61.73311,0.99992,0.99939,1.70255,-1.95304,1.92,8.6343,7.4167,0.475,0.16,1.25,0.0,119.0,6.26889,80,5.95614
652,Hg,In,B,0.9979,-61.64127,0.99938,0.98908,4.087,-0.96653,1.6,8.6343,5.3782,0.475,0.36,1.55,0.0,28.9,5.79311,80,5.39727
