,0
0.0,5.044341953682014
0.16,5.044235699701734
0.17,5.044321803394955
0.195,5.045110758992001
0.21,5.040137965269304
0.22,4.99769645080603
0.23,4.899290667022884
0.25,4.8191459958781255
0.26,4.809087993870811
0.28,4.7690198250319025
0.31,4.751687609624142
0.335,4.747341011223293
0.345,4.734393215518217
0.36,4.674503311965104
0.45,4.6263821861352215
0.49,4.614660319703202
0.51,4.610106058510999
0.526,4.607030592355995
0.54,4.561075215691592
0.5429999999999999,4.558777326322643
0.565,4.537475713928972
0.59,4.518237872602718
0.605,4.518882748377766
0.63,4.524547517985601
