,0
0.72,4.973292283563606
0.76,4.97314515425696
0.82,4.967089579558597
0.83,4.956218973785628
0.88,4.938929011161739
0.9,4.938161059296552
0.92,4.936643506046159
0.94,4.937296004765616
0.96,4.95008561860366
0.985,4.979022400830898
0.99,5.014414398802705
1.015,5.0108010111352534
1.045,5.023656658313759
1.07,5.050460099874344
1.09,5.0437799160705765
1.1,4.970763880385726
1.32,3.9263546288945848
1.375,3.8794157507731817
1.42,3.8676526997062397
1.515,3.8576522028700935
1.54,3.8619251523441904
1.67,3.84997300505743
1.71,3.847970834900444
