,0
-6.44157,3.7753711978291147
-6.32714,3.7701088884317446
-6.18647,3.7645402911785384
-5.9276,3.7701150703655046
-5.91143,3.7752232340610785
-5.8985,3.7875494363206235
-5.74611,3.7926034055433386
-5.74301,3.7822932292430935
-5.65931,3.792835774338116
-5.63216,3.8062499503091765
-5.62449,3.8028531355875654
-5.57891,3.798362406649546
-5.52332,3.8001831259995016
-5.50102,3.8020899954511735
-5.49191,3.81552221114844
-5.46235,3.806454334625114
-5.4217900000000006,3.821057320192587
-5.39291,3.8248551722927324
-5.38389,3.816036260793814
-5.34397,3.832376628013468
-5.28376,3.8377267512286353
-5.27219,3.832340332390934
-5.23373,3.8408822946976997
-5.2289900000000005,3.8433237587639257
-5.22441,3.846774824273784
-5.2218,3.8516312052703507
-5.18791,3.853443762633704
-5.15661,3.8569318789146267
-5.1216300000000015,3.859496657119497
-5.12023,3.8726646103439517
-5.0757900000000005,3.8582192494445127
-5.06803,3.8347390311301384
-5.03169,3.8405882174942247
-5.031569999999999,3.8416401864352783
-5.021719999999998,3.841677562782969
-5.01313,3.861897332574235
-4.99927,3.8487404171601916
-4.98614,3.8423130037098563
-4.95455,3.826777701223442
-4.94359,3.8176049802177126
-4.9384,3.8270341537693335
-4.93562,3.8426337125303407
-4.91364,3.8229213436119514
-4.89594,3.8139336665683414
-4.88296,3.8197894342774883
-4.88098,3.829651565443812
-4.8583300000000005,3.828904554181764
-4.85762,3.8293446776059383
-4.85685,3.814458898539479
-4.8405,3.8109470960683156
-4.75155,3.8043577997688045
-4.74708,3.806824337134457
-4.74373,3.8097132792649395
-4.73543,3.798133466385983
-4.70606,3.830442994912204
-4.7041699999999995,3.8314267959136568
-4.69051,3.82442946001812
-4.68805,3.8215877845876234
-4.65846,3.8252110190573614
-4.63506,3.8387104448764444
-4.63134,3.822738904177565
-4.62113,3.8303727394434723
-4.619759999999999,3.8384283083470683
-4.61268,3.8682894380356525
-4.6102300000000005,3.8581312008667346
-4.60775,3.862123194287057
-4.60743,3.857414988904324
-4.58667,3.846519414678312
-4.58281,3.845604241082985
-4.58194,3.851700117153475
-4.56439,3.8638644437762473
-4.56085,3.8478872545311473
-4.54469,3.859728610175086
-4.5402,3.8704818552998725
-4.530869999999998,3.868275390319035
-4.52969,3.8754066265682217
-4.52937,3.869855559077817
